entry_date,exit_date,dias,entry_price,exit_price,stop_inicial,shares,pnl,pnl_pct,saida,equity_pos
2020-11-13,2020-11-26,13,23.77,22.30,21.95,575.38,-850.18,-6.22,trailing,104056.51
2021-03-22,2021-04-01,10,22.98,21.59,21.33,630.40,-877.98,-6.06,trailing,103178.52
2021-05-10,2021-05-12,2,24.14,22.39,22.92,842.70,-1478.22,-7.27,stop,101700.30
2021-05-24,2021-06-11,18,24.77,23.61,23.20,647.44,-753.34,-4.70,trailing,100946.96
2022-06-06,2022-06-13,7,19.46,17.98,18.23,820.40,-1212.53,-7.59,stop,99734.43
2022-07-14,2022-07-20,6,18.41,17.50,17.21,829.63,-755.20,-4.94,trailing,98979.22
2022-10-28,2022-11-10,13,22.28,21.86,20.94,742.40,-306.26,-1.85,trailing,98672.97
2023-01-24,2023-02-02,9,22.21,21.71,21.09,881.75,-443.83,-2.27,trailing,98229.13
2023-03-30,2023-04-03,4,22.40,21.46,21.32,877.08,-819.89,-4.17,trailing,97409.24
2023-05-02,2023-06-05,34,24.00,25.90,22.87,811.72,1540.97,7.91,trailing,98950.21
2023-11-28,2024-01-09,42,27.86,27.44,26.37,663.89,-281.00,-1.52,trailing,98669.21
2024-03-19,2024-04-01,13,26.24,25.34,24.99,751.92,-682.44,-3.46,trailing,97986.78
2024-05-20,2024-05-24,4,26.38,24.73,25.16,742.96,-1226.60,-6.26,stop,96760.18
2025-10-03,2025-12-05,63,18.25,22.27,16.97,755.14,3037.65,22.04,trailing,99797.83
2026-01-21,2026-01-29,8,25.64,24.48,24.26,722.01,-837.54,-4.52,trailing,98960.30
2021-04-12,2021-05-04,22,58.01,57.80,54.28,268.07,-56.35,-0.36,trailing,99943.65
2021-08-20,2021-08-31,11,63.78,57.98,60.00,264.98,-1535.88,-9.09,stop,98407.78
2022-02-09,2022-03-14,33,40.72,43.18,37.19,278.48,685.18,6.04,trailing,99092.95
2022-07-29,2022-08-22,24,27.98,29.14,25.44,390.26,451.77,4.14,trailing,99544.73
2023-05-12,2023-06-28,47,22.14,27.82,20.15,501.26,2850.36,25.69,trailing,102395.09
2023-11-14,2024-01-03,50,22.20,24.25,20.23,519.25,1064.46,9.23,trailing,103459.55
2024-05-06,2024-05-24,18,24.13,25.70,22.76,757.65,1189.11,6.50,trailing,104648.66
2024-07-09,2024-07-23,14,25.50,24.79,23.92,661.59,-466.12,-2.76,trailing,104182.54
2025-01-22,2025-02-24,33,25.00,25.54,23.59,738.90,400.44,2.17,trailing,104582.98
2025-04-24,2025-06-06,43,28.10,32.58,26.59,691.29,3091.40,15.91,trailing,107674.38
2025-08-18,2025-10-07,50,34.93,37.56,33.22,616.51,1624.09,7.54,trailing,109298.48
2025-10-31,2025-11-21,21,39.84,41.00,38.41,548.75,640.56,2.93,trailing,109939.03
2018-04-12,2018-05-14,32,13.38,13.56,12.60,1277.86,230.58,1.35,trailing,100230.58
2018-07-12,2018-07-27,15,13.94,13.68,12.92,978.12,-260.10,-1.91,trailing,99970.48
2018-10-03,2018-10-24,21,14.44,14.24,13.59,1182.75,-235.89,-1.38,trailing,99734.60
2018-11-21,2018-12-03,12,16.88,15.94,15.68,833.46,-783.63,-5.57,trailing,98950.97
2019-01-10,2019-02-13,34,16.59,18.10,15.60,998.00,1507.01,9.10,trailing,100457.98
2019-06-13,2019-08-01,49,18.84,20.56,17.90,1066.31,1832.96,9.12,trailing,102290.94
2019-11-29,2020-01-03,35,23.20,24.34,22.08,881.77,1004.90,4.91,trailing,103295.84
2020-06-08,2020-06-24,16,22.95,21.92,20.92,507.31,-525.15,-4.51,trailing,102770.69
2021-05-10,2021-05-12,2,20.35,19.19,19.24,920.18,-1066.16,-5.69,stop,101704.53
2021-11-25,2021-12-23,28,17.01,16.78,15.92,936.11,-213.36,-1.34,trailing,101491.17
2022-03-24,2022-04-18,25,17.27,17.14,15.86,724.52,-89.45,-0.72,trailing,101401.72
2022-06-02,2022-06-13,11,17.45,16.17,16.42,990.30,-1261.64,-7.30,stop,100140.08
2022-08-03,2022-09-13,41,17.08,18.82,16.33,1172.92,2040.72,10.19,trailing,102180.80
2022-10-31,2022-11-07,7,21.05,19.22,19.40,617.67,-1127.51,-8.67,stop,101053.29
2023-04-17,2023-06-23,67,18.73,20.82,17.71,995.21,2076.75,11.14,trailing,103130.04
2023-07-21,2023-08-11,21,22.28,21.75,21.16,925.53,-485.63,-2.36,trailing,102644.41
2024-07-04,2024-07-30,26,20.46,21.27,19.51,1003.28,807.69,3.93,trailing,103452.10
2025-02-04,2025-02-21,17,17.95,17.32,17.03,1124.41,-711.23,-3.52,trailing,102740.87
2025-04-17,2025-05-09,22,18.09,17.11,16.83,810.29,-799.87,-5.46,trailing,101940.99
2025-06-03,2025-06-20,17,18.77,17.97,17.45,770.21,-620.01,-4.29,trailing,101320.98
2025-09-29,2025-10-14,15,15.65,15.37,14.77,1151.37,-322.38,-1.79,trailing,100998.60
2026-02-09,2026-02-26,17,15.47,16.56,14.54,1088.35,1186.30,7.05,fim_periodo,102184.90
2018-07-24,2018-08-10,17,20.91,20.16,19.73,845.33,-633.95,-3.59,trailing,99366.05
2019-06-04,2019-06-25,21,40.41,38.19,36.68,266.39,-592.28,-5.50,trailing,98773.77
2019-07-11,2019-08-15,35,42.82,43.51,40.38,404.14,277.25,1.60,trailing,99051.02
2019-10-22,2019-11-11,20,43.48,43.95,40.85,376.62,180.55,1.10,trailing,99231.57
2019-12-09,2020-01-03,25,49.34,49.19,46.47,344.90,-54.16,-0.32,trailing,99177.41
2020-01-23,2020-02-10,18,51.77,50.69,49.40,383.18,-411.72,-2.08,trailing,98765.69
2020-02-19,2020-02-26,7,54.94,50.75,51.52,288.70,-1209.81,-7.63,stop,97555.87
2021-03-18,2021-04-19,32,36.06,35.67,33.00,319.00,-125.39,-1.09,trailing,97430.49
