time_stop,combo,ticker,data_entrada,data_saida,dias,mrs_entrada,cruzamentos,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo
5,TS5d,AURE3,2026-01-21,2026-01-28,5,-4.422,3,11.540,11.690,1.300,7.369,-6.069,time_stop
7,TS7d,AURE3,2023-07-25,2023-08-03,7,-4.509,4,12.410,12.000,-3.347,-1.076,-2.271,time_stop
7,TS7d,AURE3,2026-01-21,2026-01-30,7,-4.422,3,11.540,11.260,-2.426,5.475,-7.901,time_stop
10,TS10d,AURE3,2023-07-25,2023-08-08,10,-4.509,4,12.410,12.090,-2.650,-2.297,-0.353,time_stop
10,TS10d,AURE3,2026-01-21,2026-02-04,10,-4.422,3,11.540,10.960,-5.026,5.475,-10.501,time_stop
5,TS5d,AXIA3,2023-01-02,2023-01-09,5,-4.176,3,35.730,36.120,1.102,2.650,-1.548,time_stop
5,TS5d,AXIA3,2024-04-12,2024-04-19,5,-4.621,3,34.340,33.270,-3.102,-0.491,-2.611,time_stop
5,TS5d,AXIA3,2024-05-02,2024-05-09,5,-4.400,3,34.030,33.910,-0.340,0.949,-1.289,time_stop
5,TS5d,AXIA3,2024-10-02,2024-10-09,5,-4.140,6,35.470,33.980,-4.190,-2.695,-1.495,time_stop
5,TS5d,AXIA3,2024-10-10,2024-10-17,5,-4.756,6,33.950,33.930,-0.052,0.402,-0.454,time_stop
5,TS5d,AXIA3,2026-01-14,2026-01-21,5,-4.034,3,49.900,52.400,5.000,4.136,0.864,take_profit
5,TS5d,AXIA3,2026-01-26,2026-02-02,5,-4.743,3,54.350,55.600,2.300,2.225,0.075,time_stop
5,TS5d,AXIA3,2026-02-03,2026-02-10,5,-4.493,3,56.460,58.850,4.233,0.115,4.118,time_stop
7,TS7d,AXIA3,2023-01-02,2023-01-11,7,-4.176,3,35.730,37.390,4.651,6.304,-1.653,time_stop
7,TS7d,AXIA3,2024-04-12,2024-04-23,7,-4.621,3,34.340,32.750,-4.640,-0.581,-4.059,time_stop
7,TS7d,AXIA3,2024-05-02,2024-05-13,7,-4.400,3,34.030,33.760,-0.785,0.981,-1.766,time_stop
7,TS7d,AXIA3,2024-10-02,2024-10-11,7,-4.140,6,35.470,33.930,-4.340,-2.603,-1.737,time_stop
7,TS7d,AXIA3,2024-10-14,2024-10-23,7,-4.936,5,34.030,33.850,-0.523,-1.325,0.802,time_stop
7,TS7d,AXIA3,2026-01-14,2026-01-21,5,-4.034,3,49.900,52.400,5.000,4.136,0.864,take_profit
7,TS7d,AXIA3,2026-01-26,2026-02-04,7,-4.743,3,54.350,54.980,1.159,1.654,-0.495,time_stop
10,TS10d,AXIA3,2023-01-02,2023-01-16,10,-4.176,3,35.730,35.700,-0.073,2.767,-2.840,time_stop
10,TS10d,AXIA3,2024-04-12,2024-04-26,10,-4.621,3,34.340,33.190,-3.358,0.581,-3.939,time_stop
10,TS10d,AXIA3,2024-05-02,2024-05-16,10,-4.400,3,34.030,34.200,0.497,0.973,-0.476,time_stop
