ticker,data,mrs,rsv,atr_ratio,close,variacao,ret_5d,ret_bova_5d,ret_rel_5d,ret_10d,ret_bova_10d,ret_rel_10d,ret_20d,ret_bova_20d,ret_rel_20d,dias_mrs,dias_rsv,mrs_recuo
INTB3,2022-04-08,4.500,278.683,0.925,26.700,I,-4.596,-2.211,-2.385,-9.445,-8.510,-0.935,-16.038,-12.932,-3.106,,,4.483
INTB3,2022-04-12,5.094,29.267,0.937,26.370,I,-3.434,-1.539,-1.895,-6.258,-5.288,-0.970,-12.741,-8.705,-4.035,,,4.225
INTB3,2022-05-03,5.538,21.680,0.952,24.610,I,-8.906,-3.388,-5.519,-4.023,2.122,-6.146,-10.041,4.342,-14.383,,,3.187
INTB3,2022-09-16,0.519,-60.947,0.910,24.160,I,6.173,2.121,4.052,4.198,0.814,3.383,19.541,4.072,15.469,,,-0.666
INTB3,2022-09-21,0.654,-26.090,0.936,24.800,I,-0.309,-3.088,2.779,8.282,4.771,3.511,17.766,4.382,13.384,,,-0.159
INTB3,2022-10-27,15.237,44.414,1.021,29.320,I,1.773,3.636,-1.863,-6.483,-1.318,-5.164,-10.029,-4.409,-5.620,,,12.936
INTB3,2023-01-09,5.017,-53.286,0.948,25.920,I,1.821,0.114,1.707,-0.894,2.421,-3.314,-1.589,-0.095,-1.494,,,2.667
INTB3,2023-01-24,3.663,114.020,0.885,26.580,I,-0.323,0.375,-0.697,-4.777,-4.871,0.093,-6.456,-4.825,-1.631,,,1.623
INTB3,2023-02-03,4.541,-16.527,0.964,25.740,I,-2.733,-0.114,-2.619,-1.467,0.658,-2.125,-3.101,-3.786,0.685,,,4.473
INTB3,2023-02-13,1.915,-55.789,0.912,25.270,I,-0.374,-1.773,1.400,-1.392,-4.049,2.656,-8.784,-5.765,-3.020,,,1.693
INTB3,2023-02-22,3.303,4.206,0.934,25.170,I,-1.022,-2.317,1.294,0.413,-0.367,0.779,-13.536,-6.342,-7.195,,,2.185
INTB3,2024-06-06,14.517,-5.900,0.879,21.010,I,-3.219,-2.697,-0.522,-6.057,-1.910,-4.147,-2.880,2.697,-5.577,,,10.763
INTB3,2024-06-24,12.782,16.297,0.899,20.620,I,-2.028,1.680,-3.708,-2.158,3.242,-5.399,-4.186,4.350,-8.536,,,11.254
INTB3,2024-07-03,8.276,-59.195,0.954,20.300,I,0.833,1.113,-0.280,-1.491,3.013,-4.504,-7.716,1.556,-9.272,,,7.634
INTB3,2024-07-09,7.135,52.540,0.943,20.300,I,-1.008,1.481,-2.490,-2.893,-0.478,-2.416,-10.003,-0.648,-9.355,,,6.987
IRBR3,2023-06-05,29.403,-1.604,0.991,39.210,I,-4.744,3.482,-8.225,-2.091,6.121,-8.212,10.457,5.589,4.867,,,28.418
IRBR3,2023-06-21,30.245,105.012,0.842,40.610,I,2.930,-2.787,5.717,13.691,-0.370,14.061,17.951,-2.167,20.119,,,23.292
IRBR3,2023-06-23,38.331,311.105,0.931,42.660,I,2.086,-0.989,3.075,22.738,-0.104,22.842,15.424,0.945,14.479,,,28.925
IRBR3,2023-06-27,34.634,-9.859,0.994,41.000,I,5.634,1.292,4.342,30.561,0.026,30.535,4.610,3.700,0.909,,,33.908
IRBR3,2023-08-15,24.796,155.971,0.799,39.560,I,9.530,0.036,9.494,20.096,2.002,18.094,10.718,1.860,8.858,,,21.819
IRBR3,2023-08-16,39.863,286.075,0.916,44.250,I,-0.271,2.172,-2.443,1.785,1.815,-0.029,-1.333,3.325,-4.659,,,24.796
IRBR3,2023-08-22,35.110,53.748,0.975,43.330,I,9.647,1.966,7.681,-0.208,1.076,-1.284,-6.554,2.331,-8.885,,,25.855
IRBR3,2023-08-24,38.604,41.482,1.002,45.020,I,-4.576,-0.874,-3.702,-9.374,-1.447,-7.926,-10.062,-0.609,-9.453,,,35.014
IRBR3,2023-09-22,19.035,123.287,0.852,40.490,I,8.669,0.480,8.189,4.865,-1.732,6.597,0.568,-2.895,3.463,,,17.074
IRBR3,2023-09-25,21.520,51.418,0.865,41.440,I,0.555,-0.959,1.514,3.644,-0.737,4.381,-2.413,-2.070,-0.343,,,19.035
IRBR3,2023-09-29,26.946,85.651,0.838,44.000,I,-3.500,-2.201,-1.299,-8.909,-0.186,-8.723,-7.523,-3.703,-3.820,,,21.882
IRBR3,2023-10-09,23.682,29.744,0.939,42.950,I,-7.427,0.537,-7.964,-5.844,-1.342,-4.502,1.211,3.383,-2.172,,,23.649
IRBR3,2023-10-26,19.045,19.565,0.962,42.000,I,0.595,3.007,-2.412,5.071,5.036,0.036,13.643,9.461,4.181,,,14.454
IRBR3,2023-11-01,17.214,-33.102,0.906,41.540,I,3.948,3.245,0.703,3.274,8.551,-5.277,29.104,11.366,17.738,,,16.967
IRBR3,2023-11-21,11.766,-38.763,0.999,44.080,I,10.957,0.788,10.169,22.641,1.027,21.614,13.475,5.166,8.310,,,9.786
IRBR3,2023-11-22,18.036,55.822,1.035,46.810,I,4.529,0.098,4.431,14.057,-0.352,14.409,5.853,3.823,2.030,,,11.766
IRBR3,2024-11-29,7.599,-60.781,0.871,40.990,I,-4.952,0.114,-5.067,-3.635,-0.564,-3.071,8.612,-4.267,12.879,,,4.419
IRBR3,2024-12-10,3.644,-31.758,0.883,40.260,I,-1.764,-2.548,0.785,6.433,-5.466,11.899,19.722,-7.020,26.742,,,1.175
IRBR3,2024-12-11,3.949,-53.918,0.899,40.980,I,-7.687,-6.721,-0.965,5.783,-7.385,13.168,14.983,-8.017,23.000,,,3.644
IRBR3,2024-12-26,16.770,319.357,1.085,42.850,I,1.470,-0.754,2.225,12.485,-1.645,14.130,18.086,3.315,14.772,,,5.209
IRBR3,2025-02-06,32.505,-62.989,0.980,52.850,I,1.570,-1.202,2.772,2.838,1.064,1.775,-13.718,-1.510,-12.208,,,31.382
IRBR3,2025-02-14,39.926,-29.405,0.867,57.080,I,-5.098,-0.745,-4.353,-17.414,-3.892,-13.522,-15.540,2.715,-18.254,,,35.269
IRBR3,2025-02-25,35.250,73.814,0.836,54.930,I,-14.582,-1.978,-12.604,-16.530,-0.261,-16.270,-6.117,5.658,-11.775,,,33.922
IRBR3,2025-04-07,17.913,6.476,0.900,50.120,I,-5.826,2.998,-8.824,-8.480,5.174,-13.654,-5.587,8.401,-13.987,,,13.868
IRBR3,2025-04-08,18.384,-49.903,0.936,49.730,I,-5.449,4.263,-9.712,-5.007,8.543,-13.550,-4.142,10.079,-14.222,,,17.913
IRBR3,2025-05-30,0.166,-26.937,0.939,49.160,I,3.316,-0.694,4.010,-4.292,0.000,-4.292,-7.974,1.388,-9.362,,,-2.422
IRBR3,2025-06-02,0.617,-14.498,0.957,49.330,I,1.460,-0.651,2.111,-3.345,1.849,-5.194,-7.014,2.186,-9.200,,,0.166
IRBR3,2025-06-05,3.201,-16.974,0.953,50.730,I,-4.179,1.058,-5.237,-6.722,0.488,-7.210,-8.141,3.662,-11.803,,,0.718
ISAE4,2022-02-07,3.986,-10.260,0.924,18.320,I,-0.419,1.671,-2.090,0.503,-0.251,0.754,2.725,1.912,0.813,,,3.948
ISAE4,2022-02-18,2.848,4.259,0.941,18.280,I,2.647,0.359,2.288,3.277,-1.124,4.402,8.193,4.230,3.963,,,1.888
ISAE4,2022-04-08,7.488,26.032,0.900,20.490,I,-1.275,-2.211,0.936,-1.912,-8.510,6.598,-9.561,-12.932,3.371,,,5.543
ISAE4,2023-04-12,2.486,-2.358,0.998,18.180,I,-0.885,-0.204,-0.681,-0.575,-3.790,3.214,9.027,1.856,7.171,,,2.031
ISAE4,2023-04-28,7.248,6.642,0.928,18.540,I,5.119,2.391,2.728,7.679,5.546,2.133,9.111,8.018,1.093,,,5.976
ISAE4,2023-06-09,4.123,3.996,0.989,20.300,I,-1.347,3.239,-4.586,2.139,3.113,-0.974,-0.040,1.664,-1.704,,,2.769
ISAE4,2023-08-01,0.220,105.913,0.851,20.470,I,-1.336,-1.984,0.648,-1.768,-3.934,2.166,-0.511,-3.773,3.262,,,-1.484
ISAE4,2023-08-02,1.359,-18.605,0.878,20.620,I,-1.989,-1.915,-0.075,-1.638,-4.382,2.744,-1.950,-2.468,0.518,,,0.220
ISAE4,2024-01-17,7.924,-53.679,0.927,23.430,I,-1.574,-0.749,-0.825,-4.046,-1.530,-2.516,-1.349,-1.140,-0.209,,,7.085
ISAE4,2024-01-31,3.832,-62.672,0.867,22.490,I,4.842,2.679,2.163,2.811,0.397,2.415,0.039,1.360,-1.321,,,3.720
